"","time","power","timestamp","trend","power_with_trend"
"1",7.25,-0.571962399228383,"2017-01-02 07:15:00",0.571962399228383,0
"2",7.5,-2.31217578785615,"2017-01-02 07:30:00",2.31217578785615,0
"3",7.75,-4.04932175186744,"2017-01-02 07:45:00",4.04932175186744,0
"4",8,-5.77382135956906,"2017-01-02 08:00:00",5.77382135956906,0
"5",8.25,-7.47608862451677,"2017-01-02 08:15:00",7.47608862451677,0
"6",8.5,-8.63840824937082,"2017-01-02 08:30:00",9.14660924937082,0.508201
"7",8.75,-9.3606194650993,"2017-01-02 08:45:00",10.7760194650993,1.4154
"8",9,-9.21358397606839,"2017-01-02 09:00:00",12.3551839760684,3.1416
"9",9.25,-8.54547202965728,"2017-01-02 09:15:00",13.8752720296573,5.3298
"10",9.5,-7.96942065241586,"2017-01-02 09:30:00",15.3278306524159,7.35841
"11",9.75,-7.68744413308511,"2017-01-02 09:45:00",16.7048541330851,9.01741
"12",10,-7.32244888540864,"2017-01-02 10:00:00",17.9988488854086,10.6764
"13",10.25,-6.98929288973146,"2017-01-02 10:15:00",19.2028928897315,12.2136
"14",10.5,-6.42128899083222,"2017-01-02 10:30:00",20.3106889908322,13.8894
"15",10.75,-6.10421141898644,"2017-01-02 10:45:00",21.3166114189864,15.2124
"16",11,-5.80634500044809,"2017-01-02 11:00:00",22.2157450004481,16.4094
"17",11.25,-9.28671663073499,"2017-01-02 11:15:00",23.003916630735,13.7172
"18",11.5,-11.6363186975572,"2017-01-02 11:30:00",23.6777186975572,12.0414
"19",11.75,-8.56012425807395,"2017-01-02 11:45:00",24.2345242580739,15.6744
"20",12,-5.24749389547118,"2017-01-02 12:00:00",24.6724938954712,19.425
"21",12.25,-6.76257430065585,"2017-01-02 12:15:00",24.9905743006559,18.228
"22",12.5,-15.444478744178,"2017-01-02 12:30:00",25.188488744178,9.74401
"23",12.75,-19.7479097193854,"2017-01-02 12:45:00",25.2667197193854,5.51881
"24",13,-15.3438741483904,"2017-01-02 13:00:00",25.2264841483904,9.88261
"25",13.25,-15.7834916459035,"2017-01-02 13:15:00",25.0697016459035,9.28621
"26",13.5,-15.390946430683,"2017-01-02 13:30:00",24.798956430683,9.40801
"27",13.75,-16.4668435587608,"2017-01-02 13:45:00",24.4174535587608,7.95061
"28",14,-14.932560225379,"2017-01-02 14:00:00",23.928970225379,8.99641
"29",14.25,-15.1351929425764,"2017-01-02 14:15:00",23.3378029425764,8.20261
"30",14.5,-16.8527014456739,"2017-01-02 14:30:00",22.6487114456739,5.79601
"31",14.75,-13.5298502138356,"2017-01-02 14:45:00",21.8668602138356,8.33701
"32",15,-12.6733485069823,"2017-01-02 15:00:00",20.9977585069823,8.32441
"33",15.25,-11.2313898234173,"2017-01-02 15:15:00",20.0471998234173,8.81581
"34",15.5,-8.64720166965828,"2017-01-02 15:30:00",19.0212016696583,10.374
"35",15.75,-6.3003465064597,"2017-01-02 15:45:00",17.9259465064597,11.6256
"36",16,-4.11312469343951,"2017-01-02 16:00:00",16.7677246934395,12.6546
"37",16.25,-5.36788019988124,"2017-01-02 16:15:00",15.5528801998812,10.185
"38",16.5,-6.50934978220213,"2017-01-02 16:30:00",14.2877597822021,7.77841
"39",16.75,-7.99326625048938,"2017-01-02 16:45:00",12.9786662504894,4.9854
"40",17,-9.92241635882769,"2017-01-02 17:00:00",11.6318163588277,1.7094
"41",17.25,-9.8291037584467,"2017-01-02 17:15:00",10.2533037584467,0.4242
"42",17.5,-8.84906735071615,"2017-01-02 17:30:00",8.84906735071615,0
"43",17.75,-7.42486527052059,"2017-01-02 17:45:00",7.42486527052059,0
"44",18,-5.98625462143593,"2017-01-02 18:00:00",5.98625462143593,0
