"","time","power","timestamp","trend","power_with_trend"
"1",7.25,-0.926884595613566,"2017-01-02 07:15:00",0.926884595613566,0
"2",7.5,-2.59963886284831,"2017-01-02 07:30:00",2.59963886284831,0
"3",7.75,-4.28096436286097,"2017-01-02 07:45:00",4.28096436286097,0
"4",8,-5.96226052006975,"2017-01-02 08:00:00",5.96226052006975,0
"5",8.25,-7.63468767879016,"2017-01-02 08:15:00",7.63468767879016,0
"6",8.5,-9.28923303157199,"2017-01-02 08:30:00",9.28923303157199,0
"7",8.75,-9.85978090150525,"2017-01-02 08:45:00",10.9167809015053,1.057
"8",9,-10.9541865353433,"2017-01-02 09:00:00",12.5081865353433,1.554
"9",9.25,-11.549352496724,"2017-01-02 09:15:00",14.054352496724,2.505
"10",9.5,-10.6433066952776,"2017-01-02 09:30:00",15.5463066952777,4.903
"11",9.75,-8.50228104894822,"2017-01-02 09:45:00",16.9752810489482,8.473
"12",10,-7.62978975412336,"2017-01-02 10:00:00",18.3327897541234,10.703
"13",10.25,-6.94470613161305,"2017-01-02 10:15:00",19.6107061316131,12.666
"14",10.5,-6.82133702629902,"2017-01-02 10:30:00",20.801337026299,13.98
"15",10.75,-6.78049376429771,"2017-01-02 10:45:00",21.8974937642977,15.117
"16",11,-6.4785587133596,"2017-01-02 11:00:00",22.8925587133596,16.414
"17",11.25,-6.62054654932151,"2017-01-02 11:15:00",23.7805465493215,17.16
"18",11.5,-6.36615940283977,"2017-01-02 11:30:00",24.5561594028398,18.19
"19",11.75,-5.8608351452197,"2017-01-02 11:45:00",25.2148351452197,19.354
"20",12,-5.42178816855817,"2017-01-02 12:00:00",25.7527881685582,20.331
"21",12.25,-5.33004212207544,"2017-01-02 12:15:00",26.1670421220754,20.837
"22",12.5,-5.09445418169309,"2017-01-02 12:30:00",26.4554541816931,21.361
"23",12.75,-6.8627305517467,"2017-01-02 12:45:00",26.6167305517467,19.754
"24",13,-9.07243302421641,"2017-01-02 13:00:00",26.6504330242164,17.578
"25",13.25,-8.38397654995198,"2017-01-02 13:15:00",26.556976549952,18.173
"26",13.5,-8.21861790595704,"2017-01-02 13:30:00",26.337617905957,18.119
"27",13.75,-8.15943567076373,"2017-01-02 13:45:00",25.9944356707637,17.835
"28",14,-7.75730184419072,"2017-01-02 14:00:00",25.5303018441907,17.773
"29",14.25,-12.4078455663117,"2017-01-02 14:15:00",24.9488455663117,12.541
"30",14.5,-7.49440950134607,"2017-01-02 14:30:00",24.2544095013461,16.76
"31",14.75,-7.70399955362305,"2017-01-02 14:45:00",23.4519995536231,15.748
"32",15,-7.20822867313569,"2017-01-02 15:00:00",22.5472286731357,15.339
"33",15.25,-7.40625558604315,"2017-01-02 15:15:00",21.5462555860432,14.14
"34",15.5,-4.84071934957091,"2017-01-02 15:30:00",20.4557193495709,15.615
"35",15.75,-6.43967068009566,"2017-01-02 15:45:00",19.2826706800957,12.843
"36",16,-7.03850103703841,"2017-01-02 16:00:00",18.0345010370384,10.996
"37",16.25,-10.3768704630355,"2017-01-02 16:15:00",16.7188704630355,6.342
"38",16.5,-12.6706351824987,"2017-01-02 16:30:00",15.3436351824987,2.673
"39",16.75,-12.2377759461641,"2017-01-02 16:45:00",13.9167759461641,1.679
"40",17,-11.2473280788978,"2017-01-02 17:00:00",12.4463280788978,1.199
"41",17.25,-10.1943141424665,"2017-01-02 17:15:00",10.9403141424665,0.746
"42",17.5,-9.40668006503951,"2017-01-02 17:30:00",9.40668006503951,0
"43",17.75,-7.85323551596509,"2017-01-02 17:45:00",7.85323551596509,0
"44",18,-6.2875992191598,"2017-01-02 18:00:00",6.2875992191598,0
"45",18.25,-4.71714980278541,"2017-01-02 18:15:00",4.71714980278541,0
"46",18.5,-3.14898267844317,"2017-01-02 18:30:00",3.14898267844317,0
"47",18.75,-1.58987333172091,"2017-01-02 18:45:00",1.58987333172091,0
"48",19,-0.0462472895245252,"2017-01-02 19:00:00",0.0462472895245252,0
"49",31.25,-0.944831645772781,"2017-01-03 07:15:00",0.944831645772781,0
"50",31.5,-2.61759951717189,"2017-01-03 07:30:00",2.61759951717189,0
"51",31.75,-4.29893861964279,"2017-01-03 07:45:00",4.29893861964279,0
"52",32,-5.98024837760218,"2017-01-03 08:00:00",5.98024837760218,0
"53",32.25,-7.65268913536415,"2017-01-03 08:15:00",7.65268913536415,0
"54",32.5,-9.30724808547698,"2017-01-03 08:30:00",9.30724808547698,0
"55",32.75,-10.2948095510292,"2017-01-03 08:45:00",10.9348095510292,0.64
"56",33,-10.7672287787726,"2017-01-03 09:00:00",12.5262287787726,1.759
"57",33.25,-11.8604083323436,"2017-01-03 09:15:00",14.0724083323436,2.212
"58",33.5,-11.0793761213712,"2017-01-03 09:30:00",15.5643761213712,4.485
"59",33.75,-7.72036406379767,"2017-01-03 09:45:00",16.9933640637977,9.273
"60",34,-5.5868863560092,"2017-01-03 10:00:00",18.3508863560092,12.764
"61",34.25,-5.18681631881433,"2017-01-03 10:15:00",19.6288163188143,14.442
"62",34.5,-4.96546079709326,"2017-01-03 10:30:00",20.8194607970933,15.854
"63",34.75,-4.69363111696101,"2017-01-03 10:45:00",21.915631116961,17.222
"64",35,-4.57770964616656,"2017-01-03 11:00:00",22.9107096461666,18.333
"65",35.25,-4.31171106054519,"2017-01-03 11:15:00",23.7987110605452,19.487
"66",35.5,-5.81533749075185,"2017-01-03 11:30:00",24.5743374907518,18.759
"67",35.75,-4.19102680809025,"2017-01-03 11:45:00",25.2330268080903,21.042
"68",36,-4.3739934046559,"2017-01-03 12:00:00",25.7709934046559,21.397
"69",36.25,-4.58426092966751,"2017-01-03 12:15:00",26.1852609296675,21.601
"70",36.5,-4.46368655904515,"2017-01-03 12:30:00",26.4736865590452,22.01
"71",36.75,-4.45697649712301,"2017-01-03 12:45:00",26.634976497123,22.178
"72",37,-4.70369253587967,"2017-01-03 13:00:00",26.6686925358797,21.965
"73",37.25,-4.59224962616344,"2017-01-03 13:15:00",26.5752496261634,21.983
"74",37.5,-4.49690454497645,"2017-01-03 13:30:00",26.3559045449765,21.859
"75",37.75,-4.4117358708494,"2017-01-03 13:45:00",26.0127358708494,21.601
"76",38,-4.54261560359943,"2017-01-03 14:00:00",25.5486156035994,21.006
"77",38.25,-4.55617288329877,"2017-01-03 14:15:00",24.9671728832988,20.411
"78",38.5,-4.57275037416532,"2017-01-03 14:30:00",24.2727503741653,19.7
"79",38.75,-4.64035398052685,"2017-01-03 14:45:00",23.4703539805269,18.83
"80",39,-4.56159665237493,"2017-01-03 15:00:00",22.5655966523749,18.004
"81",39.25,-4.95563711586723,"2017-01-03 15:15:00",21.5646371158672,16.609
"82",39.5,-5.26811442822772,"2017-01-03 15:30:00",20.4741144282277,15.206
"83",39.75,-5.85407930583166,"2017-01-03 15:45:00",19.3010793058317,13.447
"84",40,-7.03892320809853,"2017-01-03 16:00:00",18.0529232080985,11.014
"85",40.25,-10.2533061776633,"2017-01-03 16:15:00",16.7373061776633,6.484
"86",40.5,-12.5730844389361,"2017-01-03 16:30:00",15.3620844389361,2.789
"87",40.75,-12.2562387426516,"2017-01-03 16:45:00",13.9352387426516,1.679
"88",41,-11.3098044136745,"2017-01-03 17:00:00",12.4648044136745,1.155
"89",41.25,-10.1598040137699,"2017-01-03 17:15:00",10.9588040137699,0.799
"90",41.5,-9.42518347110575,"2017-01-03 17:30:00",9.42518347110575,0
"91",41.75,-7.87175245502877,"2017-01-03 17:45:00",7.87175245502877,0
"92",42,-6.30612968945407,"2017-01-03 18:00:00",6.30612968945407,0
"93",42.25,-4.73569380254186,"2017-01-03 18:15:00",4.73569380254186,0
"94",42.5,-3.16754020589202,"2017-01-03 18:30:00",3.16754020589202,0
"95",42.75,-1.60844438509089,"2017-01-03 18:45:00",1.60844438509089,0
"96",43,-0.0648318670427928,"2017-01-03 19:00:00",0.0648318670427928,0
"97",55.25,-0.964076704200585,"2017-01-04 07:15:00",0.964076704200585,0
"98",55.5,-2.63685800923045,"2017-01-04 07:30:00",2.63685800923045,0
"99",55.75,-4.31821054348429,"2017-01-04 07:45:00",4.31821054348429,0
"100",56,-5.99953373137732,"2017-01-04 08:00:00",5.99953373137732,0
"101",56.25,-7.67198791722217,"2017-01-04 08:15:00",7.67198791722217,0
"102",56.5,-9.32656029356566,"2017-01-04 08:30:00",9.32656029356566,0
"103",56.75,-10.1551351834948,"2017-01-04 08:45:00",10.9541351834948,0.799
"104",57,-10.94656783376,"2017-01-04 09:00:00",12.54556783376,1.599
"105",57.25,-11.6847608079963,"2017-01-04 09:15:00",14.0917608079963,2.407
"106",57.5,-11.737742015831,"2017-01-04 09:30:00",15.583742015831,3.846
"107",57.75,-9.72974337520497,"2017-01-04 09:45:00",17.012743375205,7.283
"108",58,-8.66227908250304,"2017-01-04 10:00:00",18.370279082503,9.708
"109",58.25,-7.09822245853224,"2017-01-04 10:15:00",19.6482224585322,12.55
"110",58.5,-7.04488034817129,"2017-01-04 10:30:00",20.8388803481713,13.794
"111",58.75,-6.79106407753376,"2017-01-04 10:45:00",21.9350640775338,15.144
"112",59,-6.79115601436716,"2017-01-04 11:00:00",22.9301560143672,16.139
"113",59.25,-6.45417083450531,"2017-01-04 11:15:00",23.8181708345053,17.364
"114",59.5,-6.47481066860168,"2017-01-04 11:30:00",24.5938106686017,18.119
"115",59.75,-6.50251338795857,"2017-01-04 11:45:00",25.2525133879586,18.75
"116",60,-6.53449338466994,"2017-01-04 12:00:00",25.7904933846699,19.256
"117",60.25,-6.79777430795313,"2017-01-04 12:15:00",26.2047743079531,19.407
"118",60.5,-6.96121333372673,"2017-01-04 12:30:00",26.4932133337267,19.532
"119",60.75,-7.28251666632338,"2017-01-04 12:45:00",26.6545166663234,19.372
"120",61,-7.0682460977203,"2017-01-04 13:00:00",26.6882460977203,19.62
"121",61.25,-7.0368165787643,"2017-01-04 13:15:00",26.5948165787643,19.558
"122",61.5,-7.10148488645605,"2017-01-04 13:30:00",26.375484886456,19.274
"123",61.75,-6.93632959932476,"2017-01-04 13:45:00",26.0323295993248,19.096
"124",62,-6.81822271718617,"2017-01-04 14:00:00",25.5682227171862,18.75
"125",62.25,-6.97379338011104,"2017-01-04 14:15:00",24.986793380111,18.013
"126",62.5,-7.08738425231575,"2017-01-04 14:30:00",24.2923842523157,17.205
"127",62.75,-7.03200123812663,"2017-01-04 14:45:00",23.4900012381266,16.458
"128",63,-7.13025728753384,"2017-01-04 15:00:00",22.5852572875338,15.455
"129",63.25,-7.30231112669357,"2017-01-04 15:15:00",21.5843111266936,14.282
"130",63.5,-7.64180181282828,"2017-01-04 15:30:00",20.4938018128283,12.852
"131",63.75,-8.09378006231186,"2017-01-04 15:45:00",19.3207800623119,11.227
"132",64,-8.8886373345623,"2017-01-04 16:00:00",18.0726373345623,9.184
"133",64.25,-10.770033672213,"2017-01-04 16:15:00",16.757033672213,5.987
"134",64.5,-12.2818252996728,"2017-01-04 16:30:00",15.3818252996728,3.1
"135",64.75,-11.9209929676749,"2017-01-04 16:45:00",13.9549929676749,2.034
"136",65,-11.0365720010823,"2017-01-04 17:00:00",12.4845720010823,1.448
"137",65.25,-10.196584961659,"2017-01-04 17:15:00",10.978584961659,0.782
"138",65.5,-9.44497777757114,"2017-01-04 17:30:00",9.44497777757114,0
"139",65.75,-7.89156011816428,"2017-01-04 17:45:00",7.89156011816428,0
"140",66,-6.32595070735183,"2017-01-04 18:00:00",6.32595070735183,0
"141",66.25,-4.75552817329279,"2017-01-04 18:15:00",4.75552817329279,0
"142",66.5,-3.18738792758544,"2017-01-04 18:30:00",3.18738792758544,0
"143",66.75,-1.62830545581456,"2017-01-04 18:45:00",1.62830545581456,0
"144",67,-0.0847062848832656,"2017-01-04 19:00:00",0.0847062848832656,0
"145",79.25,-0.984602756365767,"2017-01-05 07:15:00",0.984602756365767,0
"146",79.5,-2.65739731098184,"2017-01-05 07:30:00",2.65739731098184,0
"147",79.75,-4.33876309283434,"2017-01-05 07:45:00",4.33876309283434,0
"148",80,-6.02009952633719,"2017-01-05 08:00:00",6.02009952633719,0
